word|state|url|audio
bridge|success|http://ikuai.safepayer.cn:49966/static/wavs/0412-232402_19.4s-seed12.pt-temp1e-05-top_p0.501-top_k12-len6-53227-merge.wav|bridge.wav
bring|success|http://ikuai.safepayer.cn:49966/static/wavs/0412-232422_19.2s-seed12.pt-temp1e-05-top_p0.501-top_k12-len5-87413-merge.wav|bring.wav
broken|success|http://ikuai.safepayer.cn:49966/static/wavs/0412-232441_19.4s-seed12.pt-temp1e-05-top_p0.501-top_k12-len6-69704-merge.wav|broken.wav
brother|success|http://ikuai.safepayer.cn:49966/static/wavs/0412-232501_19.2s-seed12.pt-temp1e-05-top_p0.501-top_k12-len7-67846-merge.wav|brother.wav
brought|success|http://ikuai.safepayer.cn:49966/static/wavs/0412-232519_18.4s-seed12.pt-temp1e-05-top_p0.501-top_k12-len7-85007-merge.wav|brought.wav
brown|success|http://ikuai.safepayer.cn:49966/static/wavs/0412-232538_18.9s-seed12.pt-temp1e-05-top_p0.501-top_k12-len5-56485-merge.wav|brown.wav
build|success|http://ikuai.safepayer.cn:49966/static/wavs/0412-232558_18.9s-seed12.pt-temp1e-05-top_p0.501-top_k12-len5-03930-merge.wav|build.wav
bump|success|http://ikuai.safepayer.cn:49966/static/wavs/0412-232618_20.0s-seed12.pt-temp1e-05-top_p0.501-top_k12-len4-66235-merge.wav|bump.wav
bus|success|http://ikuai.safepayer.cn:49966/static/wavs/0412-232636_18.4s-seed12.pt-temp1e-05-top_p0.501-top_k12-len3-46825-merge.wav|bus.wav
busy|success|http://ikuai.safepayer.cn:49966/static/wavs/0412-232655_18.9s-seed12.pt-temp1e-05-top_p0.501-top_k12-len4-72511-merge.wav|busy.wav
but|success|http://ikuai.safepayer.cn:49966/static/wavs/0412-232715_19.5s-seed12.pt-temp1e-05-top_p0.501-top_k12-len3-41635-merge.wav|but.wav
by|success|http://ikuai.safepayer.cn:49966/static/wavs/0412-232735_19.8s-seed12.pt-temp1e-05-top_p0.501-top_k12-len2-52198-merge.wav|by.wav
cake|success|http://ikuai.safepayer.cn:49966/static/wavs/0412-232754_19.3s-seed12.pt-temp1e-05-top_p0.501-top_k12-len4-74227-merge.wav|cake.wav
call|success|http://ikuai.safepayer.cn:49966/static/wavs/0412-232813_18.8s-seed12.pt-temp1e-05-top_p0.501-top_k12-len4-79894-merge.wav|call.wav
came|success|http://ikuai.safepayer.cn:49966/static/wavs/0412-232832_18.8s-seed12.pt-temp1e-05-top_p0.501-top_k12-len4-18195-merge.wav|came.wav
camera|success|http://ikuai.safepayer.cn:49966/static/wavs/0412-232851_19.0s-seed12.pt-temp1e-05-top_p0.501-top_k12-len6-02882-merge.wav|camera.wav
can|success|http://ikuai.safepayer.cn:49966/static/wavs/0412-232911_19.4s-seed12.pt-temp1e-05-top_p0.501-top_k12-len3-77572-merge.wav|can.wav
can't=can not|success|http://ikuai.safepayer.cn:49966/static/wavs/0412-232932_20.8s-seed12.pt-temp1e-05-top_p0.501-top_k12-len13-53512-merge.wav|can't=can not.wav
candies|success|http://ikuai.safepayer.cn:49966/static/wavs/0412-232951_18.7s-seed12.pt-temp1e-05-top_p0.501-top_k12-len7-97242-merge.wav|candies.wav
cap|success|http://ikuai.safepayer.cn:49966/static/wavs/0412-233010_19.2s-seed12.pt-temp1e-05-top_p0.501-top_k12-len3-65472-merge.wav|cap.wav
capital|success|http://ikuai.safepayer.cn:49966/static/wavs/0412-233029_18.4s-seed12.pt-temp1e-05-top_p0.501-top_k12-len7-10148-merge.wav|capital.wav
car|success|http://ikuai.safepayer.cn:49966/static/wavs/0412-233048_19.4s-seed12.pt-temp1e-05-top_p0.501-top_k12-len3-69515-merge.wav|car.wav
card|success|http://ikuai.safepayer.cn:49966/static/wavs/0412-233109_20.2s-seed12.pt-temp1e-05-top_p0.501-top_k12-len4-80879-merge.wav|card.wav
careful|success|http://ikuai.safepayer.cn:49966/static/wavs/0412-233130_20.7s-seed12.pt-temp1e-05-top_p0.501-top_k12-len7-45629-merge.wav|careful.wav
carried|success|http://ikuai.safepayer.cn:49966/static/wavs/0412-233151_21.1s-seed12.pt-temp1e-05-top_p0.501-top_k12-len7-97645-merge.wav|carried.wav
carry|success|http://ikuai.safepayer.cn:49966/static/wavs/0412-233211_19.4s-seed12.pt-temp1e-05-top_p0.501-top_k12-len5-56407-merge.wav|carry.wav
cartoon|success|http://ikuai.safepayer.cn:49966/static/wavs/0412-233231_19.9s-seed12.pt-temp1e-05-top_p0.501-top_k12-len7-85898-merge.wav|cartoon.wav
cashier|success|http://ikuai.safepayer.cn:49966/static/wavs/0412-233252_20.7s-seed12.pt-temp1e-05-top_p0.501-top_k12-len7-21901-merge.wav|cashier.wav
cat|success|http://ikuai.safepayer.cn:49966/static/wavs/0412-233311_19.5s-seed12.pt-temp1e-05-top_p0.501-top_k12-len3-22243-merge.wav|cat.wav
catch|success|http://ikuai.safepayer.cn:49966/static/wavs/0412-233331_19.1s-seed12.pt-temp1e-05-top_p0.501-top_k12-len5-36139-merge.wav|catch.wav
cent|success|http://ikuai.safepayer.cn:49966/static/wavs/0412-233350_19.7s-seed12.pt-temp1e-05-top_p0.501-top_k12-len4-50331-merge.wav|cent.wav
chair|success|http://ikuai.safepayer.cn:49966/static/wavs/0412-233410_19.7s-seed12.pt-temp1e-05-top_p0.501-top_k12-len5-50601-merge.wav|chair.wav
cheap|success|http://ikuai.safepayer.cn:49966/static/wavs/0412-233430_19.8s-seed12.pt-temp1e-05-top_p0.501-top_k12-len5-74903-merge.wav|cheap.wav
cheap-expensive|success|http://ikuai.safepayer.cn:49966/static/wavs/0412-233452_21.8s-seed12.pt-temp1e-05-top_p0.501-top_k12-len15-68490-merge.wav|cheap-expensive.wav
cheese|success|http://ikuai.safepayer.cn:49966/static/wavs/0412-233512_19.3s-seed12.pt-temp1e-05-top_p0.501-top_k12-len6-71030-merge.wav|cheese.wav
chemistry|success|http://ikuai.safepayer.cn:49966/static/wavs/0412-233531_19.6s-seed12.pt-temp1e-05-top_p0.501-top_k12-len9-67572-merge.wav|chemistry.wav
chick|success|http://ikuai.safepayer.cn:49966/static/wavs/0412-233551_19.4s-seed12.pt-temp1e-05-top_p0.501-top_k12-len5-98240-merge.wav|chick.wav
chicken|success|http://ikuai.safepayer.cn:49966/static/wavs/0412-233610_19.3s-seed12.pt-temp1e-05-top_p0.501-top_k12-len7-50488-merge.wav|chicken.wav
child|success|http://ikuai.safepayer.cn:49966/static/wavs/0412-233630_19.5s-seed12.pt-temp1e-05-top_p0.501-top_k12-len5-70750-merge.wav|child.wav
children|success|http://ikuai.safepayer.cn:49966/static/wavs/0412-233650_20.2s-seed12.pt-temp1e-05-top_p0.501-top_k12-len8-07341-merge.wav|children.wav
children's day|success|http://ikuai.safepayer.cn:49966/static/wavs/0412-233713_22.6s-seed12.pt-temp1e-05-top_p0.501-top_k12-len14-89265-merge.wav|children's day.wav
chinatown|success|http://ikuai.safepayer.cn:49966/static/wavs/0412-233733_19.8s-seed12.pt-temp1e-05-top_p0.501-top_k12-len9-24984-merge.wav|chinatown.wav
chinese|success|http://ikuai.safepayer.cn:49966/static/wavs/0412-233752_19.0s-seed12.pt-temp1e-05-top_p0.501-top_k12-len7-83584-merge.wav|chinese.wav
chinese book|success|http://ikuai.safepayer.cn:49966/static/wavs/0412-233814_21.2s-seed12.pt-temp1e-05-top_p0.501-top_k12-len12-19852-merge.wav|chinese book.wav
chips|success|http://ikuai.safepayer.cn:49966/static/wavs/0412-233833_18.9s-seed12.pt-temp1e-05-top_p0.501-top_k12-len5-31905-merge.wav|chips.wav
chocolate|success|http://ikuai.safepayer.cn:49966/static/wavs/0412-233852_18.7s-seed12.pt-temp1e-05-top_p0.501-top_k12-len9-35305-merge.wav|chocolate.wav
chopsticks|success|http://ikuai.safepayer.cn:49966/static/wavs/0412-233911_19.5s-seed12.pt-temp1e-05-top_p0.501-top_k12-len10-01902-merge.wav|chopsticks.wav
christmas|success|http://ikuai.safepayer.cn:49966/static/wavs/0412-233930_18.6s-seed12.pt-temp1e-05-top_p0.501-top_k12-len9-22432-merge.wav|christmas.wav
